Network,Demand,Goodwill,Backlog,Seed,Oracle_Profit,Oracle_FillRate,Oracle_AvgInv,Oracle_Unfulfilled,Oracle_AvgBacklog,Oracle_FinalSentiment,Oracle_SolveTime_s
base,trend,True,True,47,1416.0720000000001,0.5951595159515952,456.26666666666665,368.0,12.266666666666667,0.7497656126116105,0.44829487800598145
base,trend,True,True,48,1419.81,0.7062084257206209,464.3333333333333,265.0,8.833333333333334,0.8414036319308071,2.3790061473846436
base,trend,True,True,49,1320.558,0.6519208381839348,473.06666666666666,299.0,9.966666666666667,0.7497656126116105,0.902658224105835
base,trend,True,True,50,1481.408,0.7944025834230355,466.3666666666667,191.0,6.366666666666666,0.8414036319308071,0.712285041809082
base,trend,True,True,51,1301.014,0.7683215130023641,481.3333333333333,196.0,6.533333333333333,0.7497656126116105,0.6391589641571045
base,trend,True,True,52,1279.01,0.7216248506571088,485.3,233.0,7.766666666666667,0.7497656126116105,0.9928896427154541
base,trend,True,True,53,1399.335,0.8074324324324325,482.73333333333335,171.0,5.7,0.8414036319308071,0.6417100429534912
base,trend,True,True,54,1640.772,0.908266129032258,469.23333333333335,91.0,3.033333333333333,1.0596491912748354,0.5855240821838379
base,trend,True,True,55,1669.469,0.9284294234592445,470.06666666666666,72.0,2.4,1.0596491912748354,0.4954690933227539
base,trend,True,True,56,1337.643,0.7367205542725173,475.9,228.0,7.6,0.7497656126116105,0.5110819339752197
base,trend,True,True,57,1438.104,0.8270925110132159,472.3,157.0,5.233333333333333,0.8414036319308071,0.594428300857544
base,trend,True,True,58,1350.946,0.7781609195402299,480.93333333333334,193.0,6.433333333333334,0.7497656126116105,0.845268964767456
base,trend,True,True,59,1391.3000000000002,0.7943502824858757,485.06666666666666,182.0,6.066666666666666,0.8414036319308071,0.747298002243042
base,trend,True,True,60,1372.608,0.8224513172966781,486.26666666666665,155.0,5.166666666666667,0.8414036319308071,0.5645918846130371
base,trend,True,True,61,1396.912,0.8275084554678692,483.1,153.0,5.1,0.8414036319308071,0.8674180507659912
base,trend,True,True,62,1356.737,0.7009132420091324,467.46666666666664,262.0,8.733333333333333,0.7497656126116105,2.1524930000305176
base,trend,True,True,63,1446.136,0.8320526893523601,482.73333333333335,153.0,5.1,0.8414036319308071,1.2666537761688232
base,trend,True,True,64,1431.2359999999999,0.5917030567685589,452.7,374.0,12.466666666666667,0.7497656126116105,0.8175930976867676
base,trend,True,True,65,1358.7060000000001,0.7436781609195402,484.93333333333334,223.0,7.433333333333334,0.8414036319308071,0.4563460350036621
base,trend,True,True,66,1423.2930000000001,0.8596881959910914,485.03333333333336,126.0,4.2,0.8414036319308071,0.679250955581665
base,trend,True,True,67,1402.203,0.873015873015873,487.96666666666664,112.0,3.7333333333333334,0.9442418536112391,0.5537819862365723
base,trend,True,True,68,1411.896,0.8082959641255605,477.23333333333335,171.0,5.7,0.8414036319308071,0.3361949920654297
base,trend,True,True,69,1225.5900000000001,0.559074299634592,472.26666666666665,362.0,12.066666666666666,0.6681079716341083,0.3263711929321289
base,trend,True,True,70,1393.63,0.8631221719457014,490.0,121.0,4.033333333333333,0.8414036319308071,0.5012669563293457
base,trend,True,True,71,1387.965,0.6992143658810326,463.3666666666667,268.0,8.933333333333334,0.7497656126116105,0.3793010711669922
base,trend,True,False,42,1232.059,0.8915929203539823,523.5333333333333,98.0,3.2666666666666666,0.8414036319308072,0.6126728057861328
base,trend,True,False,43,1378.972,0.926595744680851,509.1666666666667,69.0,2.3,0.9442418536112391,2.0393950939178467
base,trend,True,False,44,1388.508,0.9144050104384134,502.3666666666667,82.0,2.7333333333333334,0.9442418536112391,0.7541999816894531
base,trend,True,False,45,1224.6940000000002,0.8861878453038674,521.5666666666667,103.0,3.433333333333333,0.8414036319308072,0.9379160404205322
base,trend,True,False,46,1240.067,0.8970099667774086,527.9666666666667,93.0,3.1,0.8414036319308072,0.5651969909667969
base,trend,True,False,47,1297.124,0.8685300207039337,513.7666666666667,127.0,4.233333333333333,0.8414036319308072,0.6203250885009766
base,trend,True,False,48,1356.723,0.8868312757201646,507.4,110.0,3.6666666666666665,0.9442418536112391,0.6010582447052002
base,trend,True,False,49,1197.507,0.8815642458100559,519.8666666666667,106.0,3.533333333333333,0.8414036319308072,0.5284140110015869
base,trend,True,False,50,1447.541,0.9142280524722503,502.1666666666667,85.0,2.8333333333333335,0.9442418536112391,1.2188658714294434
base,trend,True,False,51,1255.642,0.9066666666666666,516.8666666666667,84.0,2.8,0.8414036319308072,0.7541627883911133
base,trend,True,False,52,1218.0040000000001,0.8977528089887641,523.9,91.0,3.033333333333333,0.8414036319308072,0.592750072479248
base,trend,True,False,53,1326.075,0.9117330462863293,514.7,82.0,2.7333333333333334,0.9442418536112391,0.5611939430236816
base,trend,True,False,54,1522.4920000000002,0.9435483870967742,499.23333333333335,56.0,1.8666666666666667,1.0596491912748354,0.9721331596374512
base,trend,True,False,55,1561.1490000000001,0.9493041749502982,497.76666666666665,51.0,1.7,1.0596491912748354,0.8503968715667725
base,trend,True,False,56,1306.451,0.9004282655246253,513.6333333333333,93.0,3.1,0.8414036319308072,0.9124338626861572
base,trend,True,False,57,1427.822,0.9218106995884774,501.93333333333334,76.0,2.533333333333333,0.9442418536112391,0.6639659404754639
base,trend,True,False,58,1295.309,0.9135667396061269,514.3666666666667,79.0,2.6333333333333333,0.8414036319308072,0.5793521404266357
base,trend,True,False,59,1333.929,0.9063829787234042,520.4666666666667,88.0,2.933333333333333,0.9442418536112391,0.5733959674835205
base,trend,True,False,60,1363.462,0.9259656652360515,510.6666666666667,69.0,2.3,0.9442418536112391,0.5385031700134277
base,trend,True,False,61,1365.847,0.9174603174603174,514.5,78.0,2.6,0.9442418536112391,0.5140969753265381
base,trend,True,False,62,1306.3100000000002,0.8995726495726496,509.56666666666666,94.0,3.1333333333333333,0.8414036319308072,0.4280829429626465
base,trend,True,False,63,1419.487,0.918724279835391,513.2333333333333,79.0,2.6333333333333333,0.9442418536112391,0.6489219665527344
base,trend,True,False,64,1283.192,0.8695198329853862,513.3,125.0,4.166666666666667,0.8414036319308072,0.42720699310302734
base,trend,True,False,65,1313.81,0.8995726495726496,522.4333333333333,94.0,3.1333333333333333,0.9442418536112391,0.4028639793395996
