Network,Demand,Goodwill,Backlog,Agent,Horizon,Profit_Mean,Profit_Std,FillRate_Mean,AvgInv_Mean,Unfulfilled_Mean,Time_Mean_Sec,Num_Seeds
serial,stationary,True,True,DLP_H10_Blind,10,709.554,9.708935266031995,0.2652786339781531,84.06,353.6,0.9622452735900879,5
serial,stationary,True,True,DLP_Adaptive,18,796.68,66.95286789973972,0.8710652996663141,100.17333333333333,53.4,1.1553845405578613,5
serial,stationary,True,True,DLP_Adaptive_Blind,18,810.4159999999999,32.49650356576843,0.8022466931334276,103.43333333333332,91.8,1.1596121788024902,5
serial,stationary,True,False,DLP_H10,10,736.83,1.6851706145075869,0.8304772882864976,92.72666666666666,82.0,1.0000076770782471,5
serial,stationary,True,False,DLP_H10_Blind,10,733.6179999999999,3.1359808672885805,0.8091938247342648,92.76,96.4,0.9670020580291748,5
serial,stationary,True,False,DLP_Adaptive,18,825.384,39.486972332656784,0.9407134500639558,102.01333333333334,29.4,1.0938752174377442,5
serial,stationary,True,False,DLP_Adaptive_Blind,18,806.2719999999999,62.42135993392,0.9155304660928388,105.10666666666665,42.8,1.096841859817505,5
serial,trend,False,True,DLP_H10,10,268.13199999999995,44.361069599368356,0.0,48.14,4955.8,0.9709510803222656,5
serial,trend,False,True,DLP_H10_Blind,10,234.33,33.54206672225193,0.0,58.33333333333333,5261.6,0.9684237957000732,5
serial,trend,False,True,DLP_Adaptive,18,1601.1740000000002,49.901278380418205,0.8120767637537263,98.22666666666666,195.6,1.1004561901092529,5
serial,trend,False,True,DLP_Adaptive_Blind,18,1332.9600000000003,61.595776478586544,0.0,94.92666666666666,1574.4,1.0966665744781494,5
serial,trend,False,False,DLP_H10,10,699.386,2.744839521720712,0.39128733880610284,52.8,623.4,1.2959584236145019,5
serial,trend,False,False,DLP_H10_Blind,10,693.426,2.170913171916356,0.39128733880610284,71.66,623.4,2.1856502532958983,5
serial,trend,False,False,DLP_Adaptive,18,1541.018,41.13403622305983,0.9528519286186421,102.23333333333333,48.8,3.6310301303863524,5
serial,trend,False,False,DLP_Adaptive_Blind,18,1198.232,39.58953922439607,0.7198219258501108,94.37333333333333,286.8,1.03286714553833,5
serial,trend,True,True,DLP_H10,10,601.12,42.937087465267155,0.0,56.44,1566.8,0.9034967422485352,5
serial,trend,True,True,DLP_H10_Blind,10,642.542,17.677838555660546,0.0,65.21333333333334,1124.0,0.8301706314086914,5
serial,trend,True,True,DLP_Adaptive,18,1176.95,155.97207455182482,0.8670003393040732,98.76666666666668,83.0,0.9058464050292969,5
serial,trend,True,True,DLP_Adaptive_Blind,18,926.0900000000001,46.144602284557614,0.5457322313293238,100.5,254.6,0.90937180519104,5
serial,trend,True,False,DLP_H10,10,733.97,2.247140405048146,0.6249021375637079,58.339999999999996,240.6,0.7620924949645996,5
serial,trend,True,False,DLP_H10_Blind,10,730.9419999999998,2.6364020937634045,0.6554410834123161,76.6,211.4,386.1641516685486,5
serial,trend,True,False,DLP_Adaptive,18,1255.7779999999998,77.23153796215631,0.953764026578597,100.7,37.2,1.5381855964660645,5
serial,trend,True,False,DLP_Adaptive_Blind,18,959.868,47.045029237954566,0.8626681034091963,98.4,91.0,1.9825461387634278,5
serial,seasonal,False,True,DLP_H10,10,576.9419999999998,39.8417536762628,0.0,43.81333333333333,1887.6,1.2646100044250488,5
serial,seasonal,False,True,DLP_H10_Blind,10,541.3860000000001,32.21398118829772,0.0,54.46666666666666,2207.2,1.395491886138916,5
serial,seasonal,False,True,DLP_Adaptive,18,1015.2099999999998,24.858193820147058,0.6100884998807252,62.50666666666666,239.2,1.763084602355957,5
serial,seasonal,False,True,DLP_Adaptive_Blind,18,880.5,42.64391210946759,0.14416920712276643,131.91333333333336,541.2,1.5796772480010985,5
serial,seasonal,False,False,DLP_H10,10,741.324,1.8991219023537877,0.6668123539829457,54.81333333333333,200.8,1.6766245365142822,5
serial,seasonal,False,False,DLP_H10_Blind,10,731.3860000000001,3.7924904746090338,0.6668123539829457,75.21333333333332,200.8,1.5335209846496582,5
serial,seasonal,False,False,DLP_Adaptive,18,928.4660000000001,18.31483944783572,0.8865973215248882,70.15333333333334,68.8,0.9611057758331298,5
serial,seasonal,False,False,DLP_Adaptive_Blind,18,764.49,30.371283147078252,0.8027103913950053,133.76666666666668,118.6,1.0107676982879639,5
serial,seasonal,True,True,DLP_H10,10,723.488,16.63976129636478,0.35992929169758225,57.56,329.2,0.9003867626190185,5
serial,seasonal,True,True,DLP_H10_Blind,10,701.624,30.041655480349256,0.31729600246739575,76.48666666666665,285.4,0.9252702236175537,5
serial,seasonal,True,True,DLP_Adaptive,18,807.72,59.87262312610002,0.7732883591459265,76.29333333333332,99.4,0.9431684017181396,5
serial,seasonal,True,True,DLP_Adaptive_Blind,18,655.1579999999999,64.26276726067744,0.4425018152073398,137.72,235.2,0.9366509437561035,5
serial,seasonal,True,False,DLP_H10,10,746.8639999999999,2.1453633724849452,0.8143531334871692,64.78,91.6,0.7806426048278808,5
serial,seasonal,True,False,DLP_H10_Blind,10,707.138,33.34281715752285,0.8000677059815938,93.80666666666667,97.8,0.7862903118133545,5
serial,seasonal,True,False,DLP_Adaptive,18,824.46,40.271115206807984,0.8938664624402444,73.18666666666665,54.2,0.8943040370941162,5
serial,seasonal,True,False,DLP_Adaptive_Blind,18,676.522,54.54820085025718,0.8268496061689437,130.32,85.4,0.9336807727813721,5
serial,shock,False,True,DLP_H10,10,413.26599999999996,38.937975602231795,0.0,67.9,3432.2,0.7861461639404297,5
serial,shock,False,True,DLP_H10_Blind,10,400.98,30.126859112758517,0.0,71.05333333333333,3526.8,0.821038293838501,5
serial,shock,False,True,DLP_Adaptive,18,1406.2959999999998,44.716690217412115,0.8155150539574967,109.02666666666667,167.6,0.932234525680542,5
serial,shock,False,True,DLP_Adaptive_Blind,18,1175.598,50.86292024648211,0.0,104.11333333333332,1824.0,0.946740198135376,5
serial,shock,False,False,DLP_H10,10,705.1659999999999,2.2390587308062733,0.4508207028807224,72.58666666666666,488.4,0.7963397979736329,5
serial,shock,False,False,DLP_H10_Blind,10,701.026,2.369756105593989,0.4508207028807224,82.3,488.4,0.8780467987060547,5
serial,shock,False,False,DLP_Adaptive,18,1367.61,32.90112034566612,0.9614734947322354,112.69333333333334,34.8,0.9126548767089844,5
serial,shock,False,False,DLP_Adaptive_Blind,18,985.1480000000001,20.596898213080447,0.6647607814611483,97.00666666666666,298.2,0.9374761581420898,5
serial,shock,True,True,DLP_H10,10,647.2919999999999,26.28327179024712,0.0,79.78,1020.0,0.8369905948638916,5
serial,shock,True,True,DLP_H10_Blind,10,640.174,36.25734993073818,0.0,79.76,1079.4,0.7999794006347656,5
serial,shock,True,True,DLP_Adaptive,18,1049.3880000000001,135.5586520145431,0.8907346441035904,107.90666666666667,60.2,0.912450122833252,5
serial,shock,True,True,DLP_Adaptive_Blind,18,815.8280000000001,28.301464555743436,0.23273602831981313,109.05333333333333,453.2,0.9229177474975586,5
serial,shock,True,False,DLP_H10,10,728.512,0.897182255731731,0.6532660422565127,80.73333333333333,212.6,0.8008482933044434,5
serial,shock,True,False,DLP_H10_Blind,10,726.7459999999999,3.9344763311017665,0.6802093631102385,89.34,191.0,0.7912925720214844,5
serial,shock,True,False,DLP_Adaptive,18,1124.542,51.60885404656833,0.9563209329140218,111.73333333333335,31.0,0.8686530113220214,5
serial,shock,True,False,DLP_Adaptive_Blind,18,849.21,47.576838902978814,0.8266395374723355,102.08000000000001,106.8,0.8948694229125976,5
serial,trend+seasonal,False,True,DLP_H10,10,160.78599999999994,55.87868631240362,0.0,32.72666666666667,6092.2,0.8963005542755127,5
serial,trend+seasonal,False,True,DLP_H10_Blind,10,99.11199999999994,44.69056428375014,0.0,51.10000000000001,6643.4,0.8189568042755127,5
serial,trend+seasonal,False,True,DLP_Adaptive,18,1498.7580000000003,42.2050880345012,0.559406574548752,77.41333333333333,431.2,1.0556304454803467,5
serial,trend+seasonal,False,True,DLP_Adaptive_Blind,18,1244.396,67.1050074435582,0.0,147.00666666666666,1556.4,0.9128757953643799,5
