Network,Demand,Goodwill,Backlog,Agent,Profit_Mean,Profit_Std,FillRate_Mean,AvgInv_Mean,Unfulfilled_Mean,Time_Mean_Sec,Num_Seeds
serial,seasonal+shock,False,False,DLP,721.916,2.923590942659404,0.49988579781695003,53.42,401.6,7.317112064361572,5
serial,seasonal+shock,False,False,DLP_Blind,715.9320000000001,2.298115749913383,0.49988579781695003,70.07333333333334,401.6,7.7807787418365475,5
serial,seasonal+shock,True,True,Oracle,1078.8020000000001,95.01263377046236,0.8821017413419924,135.08666666666664,87.6,1.0706071853637695,5
serial,seasonal+shock,True,True,DLP,659.404,37.71866678449811,0.0,53.06,998.4,7.094939947128296,5
serial,seasonal+shock,True,True,DLP_Blind,690.488,12.198705505093539,0.013901345291479817,67.02,615.4,6.966987657546997,5
serial,seasonal+shock,True,False,Oracle,1032.614,70.07901272135615,0.926382972467232,132.48666666666665,55.8,1.5062475204467773,5
serial,seasonal+shock,True,False,DLP,741.4979999999999,1.1424780085410684,0.7000739294784164,58.973333333333336,171.6,4.515901803970337,5
serial,seasonal+shock,True,False,DLP_Blind,731.656,3.3567222107287993,0.7136956686457688,81.46000000000001,161.2,3.54490065574646,5
serial,trend+seasonal+shock,False,True,Oracle,2121.5160000000005,42.092038962255025,0.8118934740514829,97.04666666666667,261.8,0.29536776542663573,5
serial,trend+seasonal+shock,False,True,DLP,-160.31400000000002,55.64634744527266,0.0,32.72666666666667,9303.2,4.440956258773804,5
serial,trend+seasonal+shock,False,True,DLP_Blind,-221.988,45.68553968161045,0.0,51.10000000000001,9854.4,14.751547622680665,5
serial,trend+seasonal+shock,False,False,Oracle,1981.618,36.594360439827376,0.9217110820748935,99.71333333333334,108.6,4.143630695343018,5
serial,trend+seasonal+shock,False,False,DLP,668.2520000000001,3.204642881820073,0.2892770486837634,42.093333333333334,983.6,15.498082780838013,5
serial,trend+seasonal+shock,False,False,DLP_Blind,659.6479999999999,2.3938370871886416,0.2892770486837634,66.40666666666667,983.6,10.995920705795289,5
serial,trend+seasonal+shock,True,True,Oracle,1122.888,143.45714836145322,0.8268475375232605,297.1933333333333,178.0,0.9158529758453369,5
serial,trend+seasonal+shock,True,True,DLP,502.974,25.6947960490057,0.0,38.84666666666667,2622.8,6.202200984954834,5
serial,trend+seasonal+shock,True,True,DLP_Blind,587.01,26.33181497732353,0.0,53.43333333333334,1742.6,4.826689100265503,5
serial,trend+seasonal+shock,True,False,Oracle,1278.254,107.22349417921433,0.9230482380343817,247.76,88.0,0.5840743541717529,5
serial,trend+seasonal+shock,True,False,DLP,724.626,2.86965224373961,0.5197940408085424,48.67333333333333,370.8,3.7216057777404785,5
serial,trend+seasonal+shock,True,False,DLP_Blind,725.8860000000001,4.058973269190147,0.5893466774787018,72.15333333333334,279.8,3.7314240455627443,5
